periode_data;tanggal;jenis_moda;jumlah_penumpang_per_hari
202402;25/02/2024;kapal;4535
202402;26/02/2024;kapal;1830
202402;27/02/2024;kapal;1673
202402;28/02/2024;kapal;1479
202402;29/02/2024;kapal;1477
202402;01/02/2024;transjakarta;1155322
202402;02/02/2024;transjakarta;1152107
202402;03/02/2024;transjakarta;801212
202402;04/02/2024;transjakarta;670195
202402;05/02/2024;transjakarta;1159398
202402;06/02/2024;transjakarta;1168189
202402;07/02/2024;transjakarta;1180123
202402;08/02/2024;transjakarta;696518
202402;09/02/2024;transjakarta;774403
202402;10/02/2024;transjakarta;683082
202402;11/02/2024;transjakarta;645873
202402;12/02/2024;transjakarta;1147300
202402;13/02/2024;transjakarta;1157441
202402;14/02/2024;transjakarta;471864
202402;15/02/2024;transjakarta;1111148
202402;16/02/2024;transjakarta;1129816
202402;17/02/2024;transjakarta;742067
202402;18/02/2024;transjakarta;649062
202402;19/02/2024;transjakarta;1173362
202402;20/02/2024;transjakarta;1194157
202402;21/02/2024;transjakarta;1200226
202402;22/02/2024;transjakarta;1179609
202402;23/02/2024;transjakarta;1172659
202402;24/02/2024;transjakarta;769879
202402;25/02/2024;transjakarta;667620
202402;26/02/2024;transjakarta;1185213
202402;27/02/2024;transjakarta;1197537
202402;28/02/2024;transjakarta;1171695
202402;29/02/2024;transjakarta;1099316
202402;01/02/2024;bus sekolah;43946
202402;02/02/2024;bus sekolah;42442
202402;03/02/2024;bus sekolah;1114
202402;04/02/2024;bus sekolah;1148
202402;05/02/2024;bus sekolah;44991
202402;06/02/2024;bus sekolah;46237
202402;07/02/2024;bus sekolah;44381
202402;08/02/2024;bus sekolah;1182
202402;09/02/2024;bus sekolah;410
202402;10/02/2024;bus sekolah;622
202402;11/02/2024;bus sekolah;1221
202402;12/02/2024;bus sekolah;44413
202402;13/02/2024;bus sekolah;45514
202402;14/02/2024;bus sekolah;54
202402;15/02/2024;bus sekolah;45426
202402;16/02/2024;bus sekolah;42860
202402;17/02/2024;bus sekolah;1001
202402;18/02/2024;bus sekolah;1106
202402;19/02/2024;bus sekolah;47108
202402;20/02/2024;bus sekolah;45658
202402;21/02/2024;bus sekolah;44373
202402;22/02/2024;bus sekolah;44771
202402;23/02/2024;bus sekolah;42241
202402;24/02/2024;bus sekolah;1286
202402;25/02/2024;bus sekolah;1017
202402;26/02/2024;bus sekolah;43609
202402;27/02/2024;bus sekolah;42678
202402;28/02/2024;bus sekolah;42113
202401;01/01/2024;transjakarta;632778
202401;02/01/2024;transjakarta;1045214
202401;03/01/2024;transjakarta;1041663
202401;04/01/2024;transjakarta;1097752
202401;05/01/2024;transjakarta;1105303
202401;06/01/2024;transjakarta;716205
202401;07/01/2024;transjakarta;624900
202401;08/01/2024;transjakarta;1137742
202401;09/01/2024;transjakarta;1150147
202401;10/01/2024;transjakarta;1147436
202401;11/01/2024;transjakarta;1125270
202401;12/01/2024;transjakarta;1129099
202401;13/01/2024;transjakarta;758105
202401;14/01/2024;transjakarta;683688
202401;15/01/2024;transjakarta;1154750
202401;16/01/2024;transjakarta;1158105
202401;17/01/2024;transjakarta;1131647
202401;18/01/2024;transjakarta;1142880
202401;19/01/2024;transjakarta;1066005
202401;20/01/2024;transjakarta;781421
202401;21/01/2024;transjakarta;651780
202401;22/01/2024;transjakarta;1157462
202401;23/01/2024;transjakarta;1165510
202401;24/01/2024;transjakarta;1168437
202401;25/01/2024;transjakarta;1152249
202401;26/01/2024;transjakarta;1145915
202401;27/01/2024;transjakarta;693411
202401;28/01/2024;transjakarta;639808
202401;29/01/2024;transjakarta;1114347
202401;30/01/2024;transjakarta;1120316
202401;31/01/2024;transjakarta;1095146
202401;01/01/2024;bus sekolah;0
202401;02/01/2024;bus sekolah;40401
202401;03/01/2024;bus sekolah;42323
202401;04/01/2024;bus sekolah;44479
202401;05/01/2024;bus sekolah;41464
202401;06/01/2024;bus sekolah;0
202401;07/01/2024;bus sekolah;0
202401;08/01/2024;bus sekolah;45700
202401;09/01/2024;bus sekolah;45637
202401;10/01/2024;bus sekolah;45400
202401;11/01/2024;bus sekolah;44760
202401;12/01/2024;bus sekolah;40776
202401;13/01/2024;bus sekolah;0
202401;14/01/2024;bus sekolah;0
202401;15/01/2024;bus sekolah;46806
202401;16/01/2024;bus sekolah;46224
202401;17/01/2024;bus sekolah;47063
202401;18/01/2024;bus sekolah;45509
202401;19/01/2024;bus sekolah;42145
202401;20/01/2024;bus sekolah;3278
202401;21/01/2024;bus sekolah;1008
202401;22/01/2024;bus sekolah;47053
202401;23/01/2024;bus sekolah;44602
202401;24/01/2024;bus sekolah;45968
202401;25/01/2024;bus sekolah;46116
202401;26/01/2024;bus sekolah;44698
202401;27/01/2024;bus sekolah;1392
202401;28/01/2024;bus sekolah;914
202401;29/01/2024;bus sekolah;46226
202401;30/01/2024;bus sekolah;44065
202401;31/01/2024;bus sekolah;43668
202401;01/01/2024;krl;870760
202401;02/01/2024;krl;988279
202401;03/01/2024;krl;911701
202401;04/01/2024;krl;958012
202401;05/01/2024;krl;947322
202401;06/01/2024;krl;798322
202401;07/01/2024;krl;798114
202401;08/01/2024;krl;688412
202401;09/01/2024;krl;950789
202401;10/01/2024;krl;919683
202401;11/01/2024;krl;920561
202401;12/01/2024;krl;902018
202401;13/01/2024;krl;922799
202401;14/01/2024;krl;732353
202401;15/01/2024;krl;944556
202401;16/01/2024;krl;917677
202401;17/01/2024;krl;902426
202401;18/01/2024;krl;905853
202401;19/01/2024;krl;838859
202401;20/01/2024;krl;783001
202401;21/01/2024;krl;657590
202401;22/01/2024;krl;937463
202401;23/01/2024;krl;900344
202401;24/01/2024;krl;904134
202401;25/01/2024;krl;897113
202401;26/01/2024;krl;916574
202401;27/01/2024;krl;717013
202401;28/01/2024;krl;659556
